ano,id_eleicao,tipo_eleicao,data_eleicao,sigla_uf,id_municipio,id_municipio_tse,cargo,vagas
2024,619,eleicao ordinaria,2024-10-06,AC,1200609,1473,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200609,1473,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200708,1490,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200708,1490,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200807,1023,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AC,1200807,1023,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1300029,2895,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1300029,2895,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1300060,2917,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1300060,2917,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1300086,2933,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1300086,2933,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1300102,2038,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1300102,2038,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1300144,2003,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1300144,2003,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1300201,2054,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1300201,2054,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1300300,2070,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1300300,2070,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1300409,2097,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1300409,2097,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1300508,2119,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1300508,2119,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1300607,2135,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1300607,2135,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1300631,2950,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1300631,2950,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1300680,2976,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1300680,2976,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1300706,2151,prefeito,1
